Baltimore Orioles,fanfeedback@orioles.mlb.com
Boston Red Sox,fanfeedback@redsox.com
Chicago White Sox,fanfeedback@whitesox.mlb.com
Cleveland Guardians,fanservices@cleguardians.com
Houston Astros,fanfeedback@astros.mlb.com
Detroit Tigers,fanfeedback@tigers.mlb.com
Los Angeles Angels,fanfeedback@angels.mlb.com
New York Yankees,fanfeedback@yankees.mlb.com
Oakland Athletics,fanfeedback@oaklandathletics.com
Seattle Mariners,fanfeedback@mariners.mlb.com
Tampa Bay Rays,Other@raysbaseball.com
Texas Rangers,fanfeedback@rangers.mlb.com
Toronto Blue Jays,fanfeedback@bluejays.com
Arizona Diamondbacks,fanfeedback@diamondbacks.mlb.com
Atlanta Braves,fanfeedback@braves.mlb.com
Chicago Cubs,fanfeedback@cubs.mlb.com
Cincinnati Reds,bbowman@reds.com
Colorado Rockies,fanfeedback@rockies.mlb.com
Los Angeles Dodgers,fanfeedback@dodgers.mlb.com
Miami Marlins,fanfeedback@marlins.mlb.com
Milwaukee Brewers,fanfeedback@brewers.mlb.com
New York Mets,fanfeedback@mets.mlb.com
Philadelphia Phillies,fanfeedback@phillies.mlb.com
Pittsburgh Pirates,fanfeedback@pirates.mlb.com
San Diego Padres,fanfeedback@padres.mlb.com
San Francisco Giants,orgservice@sfgiants.com
St. Louis Cardinals,guestservices@cardinals.com
Washington Nationals,fanfeedback@nationals.mlb.com
